nim,tgl_lahir,ipk,sks,bobot,ta,lama_studi,tgl_yudisium
D22.2016.01836,,3.27,119,0.0,0,5.0,2021-08-31
D22.2016.01783,1997-07-05,2.79,119,0.0,20202,5.0,2021-08-31
A11.2014.08148,,2.81,144,0.0,20202,7.0,2021-08-30
A11.2017.10176,,3.0,144,0.0,20202,3.9,2021-08-30
E12.2017.01154,,3.36,145,0.0,20211,4.2,2021-11-30
E12.2017.01143,,3.46,146,0.0,20211,4.2,2021-11-30
E12.2017.01139,,3.58,146,0.0,20211,4.2,2021-11-30
D22.2018.02382,,3.13,118,0.0,0,3.0,2021-08-31
D22.2018.02384,,3.0,118,0.0,0,3.0,2021-08-31
D22.2018.02391,,3.14,118,0.0,0,3.0,2021-08-31
D22.2018.02395,,3.09,118,0.0,0,3.0,2021-08-31
D22.2018.02426,,3.48,118,0.0,0,3.0,2021-08-31
D22.2018.02429,,3.61,118,0.0,0,3.0,2021-08-31
D22.2018.02431,,3.56,118,0.0,0,3.0,2021-08-31
D22.2018.02441,,3.51,118,0.0,0,3.0,2021-08-31
D22.2018.02444,,3.41,118,0.0,0,3.0,2021-08-31
D22.2018.02448,,3.16,118,0.0,0,3.0,2021-08-31
D22.2018.02459,,3.39,118,0.0,0,3.0,2021-08-31
D22.2018.02463,,3.29,118,0.0,0,3.0,2021-08-31
D22.2018.02480,,3.35,118,0.0,0,3.0,2021-08-31
D22.2018.02484,,3.56,118,0.0,0,3.0,2021-08-31
D22.2018.02495,,3.54,118,0.0,0,3.0,2021-08-31
D22.2018.02498,,3.32,118,0.0,0,3.0,2021-08-31
D22.2018.02505,,3.78,118,0.0,0,3.0,2021-08-31
D22.2018.02507,,3.66,118,0.0,0,3.0,2021-08-31
D22.2018.02514,,3.39,118,0.0,0,3.0,2021-08-31
D22.2018.02523,,3.52,118,0.0,0,3.0,2021-08-31
D22.2018.02524,,3.31,118,0.0,0,3.0,2021-08-31
D22.2018.02530,,3.12,118,0.0,0,3.0,2021-08-31
D22.2018.02531,,3.36,118,0.0,0,3.0,2021-08-31
D22.2018.02532,,3.32,118,0.0,0,3.0,2021-08-31
D22.2018.02533,,3.44,118,0.0,0,3.0,2021-08-31
D22.2018.02380,,3.39,118,0.0,0,3.0,2021-08-31
D22.2018.02381,,3.05,118,0.0,0,3.0,2021-08-31
D22.2018.02387,,3.24,118,0.0,0,3.0,2021-08-31
D22.2018.02390,,3.15,118,0.0,0,3.0,2021-08-31
D22.2018.02393,,3.63,118,0.0,0,3.0,2021-08-31
D22.2018.02403,,3.19,118,0.0,0,3.0,2021-08-31
D22.2018.02406,,3.32,118,0.0,0,3.0,2021-08-31
D22.2018.02407,,3.17,118,0.0,0,3.0,2021-08-31
D22.2018.02408,,3.64,118,0.0,0,3.0,2021-08-31
D22.2018.02410,,3.21,118,0.0,0,3.0,2021-08-31
D22.2018.02411,,3.3,118,0.0,0,3.0,2021-08-31
D22.2018.02412,,3.38,118,0.0,0,3.0,2021-08-31
D22.2018.02413,,3.25,118,0.0,0,3.0,2021-08-31
D22.2018.02415,,3.57,118,0.0,0,3.0,2021-08-31
D22.2018.02416,,3.34,118,0.0,0,3.0,2021-08-31
D22.2018.02417,,3.22,118,0.0,0,3.0,2021-08-31
D22.2018.02418,,3.61,118,0.0,0,3.0,2021-08-31
D22.2018.02419,,3.75,118,0.0,0,3.0,2021-08-31
D22.2018.02424,,3.45,118,0.0,0,3.0,2021-08-31
D22.2018.02427,,3.5,118,0.0,0,3.0,2021-08-31
D22.2018.02428,,3.37,118,0.0,0,3.0,2021-08-31
D22.2018.02432,,3.4,118,0.0,0,3.0,2021-08-31
D22.2018.02435,,3.53,118,0.0,0,3.0,2021-08-31
D22.2018.02436,,3.29,118,0.0,0,3.0,2021-08-31
D22.2018.02438,,3.33,118,0.0,0,3.0,2021-08-31
D22.2018.02445,,3.21,118,0.0,0,3.0,2021-08-31
D22.2018.02452,,3.17,118,0.0,0,3.0,2021-08-31
D22.2018.02453,,3.12,118,0.0,0,3.0,2021-08-31
D22.2018.02454,,3.4,118,0.0,0,3.0,2021-08-31
D22.2018.02455,,3.57,118,0.0,0,3.0,2021-08-31
D22.2018.02460,,3.68,118,0.0,0,3.0,2021-08-31
D22.2018.02462,,3.01,118,0.0,0,3.0,2021-08-31
D22.2018.02464,,2.94,118,0.0,0,3.0,2021-08-31
D22.2018.02465,,3.03,118,0.0,0,3.0,2021-08-31
D22.2018.02468,,3.72,118,0.0,0,3.0,2021-08-31
D22.2018.02469,,3.21,118,0.0,0,3.0,2021-08-31
D22.2018.02470,,3.06,118,0.0,0,3.0,2021-08-31
D22.2018.02471,,3.69,118,0.0,0,3.0,2021-08-31
D22.2018.02472,,3.68,118,0.0,0,3.0,2021-08-31
D22.2018.02473,,3.36,118,0.0,0,3.0,2021-08-31
D22.2018.02475,,3.38,118,0.0,0,3.0,2021-08-31
D22.2018.02476,,3.41,118,0.0,0,3.0,2021-08-31
D22.2018.02477,,3.59,118,0.0,0,3.0,2021-08-31
D22.2018.02481,,3.56,118,0.0,0,3.0,2021-08-31
D22.2018.02482,,3.41,118,0.0,0,3.0,2021-08-31
D22.2018.02483,,3.62,118,0.0,0,3.0,2021-08-31
D22.2018.02486,,3.32,118,0.0,0,3.0,2021-08-31
D22.2018.02487,,3.4,118,0.0,0,3.0,2021-08-31
D22.2018.02488,,3.11,118,0.0,0,3.0,2021-08-31
D22.2018.02490,,3.44,118,0.0,0,3.0,2021-08-31
D22.2018.02493,,3.23,118,0.0,0,3.0,2021-08-31
D22.2018.02494,,3.24,118,0.0,0,3.0,2021-08-31
D22.2018.02497,,3.35,118,0.0,0,3.0,2021-08-31
D22.2018.02499,,3.1,118,0.0,0,3.0,2021-08-31
D22.2018.02501,,3.45,118,0.0,0,3.0,2021-08-31
D22.2018.02508,,3.37,118,0.0,0,3.0,2021-08-31
D22.2018.02511,,3.31,118,0.0,0,3.0,2021-08-31
D22.2018.02513,,3.38,118,0.0,0,3.0,2021-08-31
D22.2018.02517,,3.61,118,0.0,0,3.0,2021-08-31
D22.2018.02518,,3.56,118,0.0,0,3.0,2021-08-31
D22.2018.02519,,3.33,118,0.0,0,3.0,2021-08-31
D22.2018.02520,,3.44,118,0.0,0,3.0,2021-08-31
D22.2018.02521,,3.28,118,0.0,0,3.0,2021-08-31
D22.2018.02522,,3.5,118,0.0,0,3.0,2021-08-31
D22.2018.02534,,3.32,118,0.0,0,3.0,2021-08-31
D22.2018.02535,,3.92,118,0.0,0,3.0,2021-08-31
D22.2018.02537,,3.41,118,0.0,0,3.0,2021-08-31
D22.2018.02541,,3.82,118,0.0,0,3.0,2021-08-31
D22.2018.02546,,3.13,118,0.0,0,3.0,2021-08-31
D22.2018.02547,,3.48,118,0.0,0,3.0,2021-08-31
D22.2018.02548,,3.12,118,0.0,0,3.0,2021-08-31
D22.2018.02550,,3.36,118,0.0,0,3.0,2021-08-31
D22.2018.02554,,3.33,118,0.0,0,3.0,2021-08-31
D22.2018.02556,,3.09,118,0.0,0,3.0,2021-08-31
D22.2018.02558,,3.36,118,0.0,0,3.0,2021-08-31
D22.2018.02559,,3.49,118,0.0,0,3.0,2021-08-31
D22.2018.02560,,3.28,118,0.0,0,3.0,2021-08-31
D22.2018.02563,,3.31,118,0.0,0,3.0,2021-08-31
D22.2018.02564,,3.41,118,0.0,0,3.0,2021-08-31
A11.2014.08480,1996-04-08,2.89,144,0.0,20202,7.0,2021-08-30
D11.2014.01864,1997-04-17,3.17,145,0.0,20202,6.9,2021-08-27
D11.2016.02273,1996-02-09,2.83,146,0.0,20202,4.9,2021-08-27
D11.2017.02351,,3.55,145,0.0,0,3.9,2021-08-27
D11.2017.02354,,3.46,145,0.0,0,3.9,2021-08-27
D11.2017.02360,,3.27,145,0.0,0,3.9,2021-08-27
D11.2017.02398,,3.17,145,0.0,0,3.9,2021-08-27
D11.2017.02402,,3.33,145,0.0,0,3.9,2021-08-27
D11.2017.02404,,3.15,145,0.0,0,3.9,2021-08-27
D11.2017.02439,,3.1,145,0.0,0,3.9,2021-08-27
D11.2017.02470,,3.29,145,0.0,0,3.9,2021-08-27
D11.2017.02491,,3.22,145,0.0,0,3.9,2021-08-27
D11.2017.02492,,3.34,145,0.0,0,3.9,2021-08-27
D11.2017.02495,,3.63,145,0.0,0,3.9,2021-08-27
D11.2017.02514,,3.27,145,0.0,0,3.9,2021-08-27
D11.2018.02619,,3.43,145,0.0,0,2.9,2021-08-27
D11.2018.02685,,3.34,144,0.0,0,2.9,2021-08-27
D12.2017.00026,,3.34,153,0.0,0,3.9,2021-08-27
D22.2018.02378,,3.31,118,0.0,0,3.0,2021-08-31
E12.2017.01151,,3.52,145,0.0,20211,4.2,2021-11-30
E12.2017.01144,,3.26,150,0.0,20211,4.2,2021-11-30
C11.2014.01516,,2.73,146,0.0,20202,7.0,2021-08-31
C11.2017.01756,,3.37,146,0.0,20202,4.0,2021-08-31
C11.2017.01765,,3.15,146,0.0,20202,4.0,2021-08-31
C11.2017.01771,,3.15,146,0.0,20202,4.0,2021-08-31
C11.2017.01774,,3.34,146,0.0,20202,4.0,2021-08-31
C11.2017.01820,,2.88,146,0.0,20202,4.0,2021-08-31
C12.2016.00640,,3.29,147,0.0,20202,5.0,2021-08-31
C12.2016.00644,,3.21,151,0.0,20202,5.0,2021-08-31
